timestamp,distance_m,yaw_deg
1758203398.2571983,4.57,6.45
1758203398.3075655,4.51,11.85
1758203398.3579476,4.21,16.79
1758203398.4082866,3.99,22.2
1758203398.4586506,3.68,27.14
1758203398.509032,3.58,32.55
1758203398.559294,3.44,37.5
1758203398.6096623,2.78,42.9
1758203398.6600285,1.66,47.85
1758203398.7103987,0.41,53.24
1758203398.7606673,0.33,58.19
1758203398.8110373,0.29,63.59
1758203398.8613904,0.33,68.55
1758203398.9117498,0.37,73.95
1758203398.9620156,0.38,78.9
1758203399.0122921,0.4,84.3
1758203399.062577,0.43,89.25
1758203399.1128318,0.36,94.65
1758203399.1632051,0.16,99.6
1758203399.2135708,0.14,105.0
1758203399.2639503,0.15,109.95
1758203399.3142517,0.21,115.35
1758203399.3645368,0.5,120.3
1758203399.4148138,0.98,125.7
1758203399.4651105,0.74,130.64
1758203399.5154166,0.56,136.05
1758203399.5657141,0.51,141.0
1758203399.6160204,0.64,145.5
1758203399.6663222,0.63,148.64
1758203399.7166114,0.48,150.45
1758203399.7669187,0.37,151.8
1758203399.8171844,0.33,152.7
1758203399.86747,0.46,154.05
1758203399.9177494,0.52,154.95
1758203399.9680314,0.5,155.85
1758203400.0183191,0.48,156.75
1758203400.0686095,0.46,157.64
1758203400.1189222,0.44,160.5
1758203400.1692023,0.44,160.04
1758203400.219484,0.47,159.14
1758203400.269785,0.49,158.25
1758203400.3200939,0.51,157.34
1758203400.3705552,0.5,156.45
1758203400.4208517,0.42,155.09
1758203400.471155,0.29,153.75
1758203400.5214572,0.43,152.39
1758203400.5717492,0.53,150.59
1758203400.622046,0.7,147.45
1758203400.6723611,0.53,142.5
1758203400.7226572,0.54,137.54
1758203400.7729502,0.63,132.14
1758203400.8232486,1.02,127.2
1758203400.873548,0.63,121.8
1758203400.9238498,0.27,116.84
1758203400.9741528,0.16,111.45
1758203401.0244455,0.15,106.49
1758203401.074733,0.15,101.09
1758203401.1250231,0.3,96.14
1758203401.175306,0.46,90.74
1758203401.2255821,0.39,85.8
1758203401.275855,0.4,80.39
1758203401.326134,0.37,75.44
1758203401.3764198,0.35,70.04
1758203401.426693,0.29,65.1
1758203401.476977,0.31,59.7
1758203401.5272772,0.38,54.75
1758203401.57757,1.24,49.35
1758203401.6278374,2.78,44.4
1758203401.678088,3.3,39.0
1758203401.7284782,3.53,34.05
1758203401.7788603,3.67,28.65
1758203401.829133,3.92,23.7
1758203401.8795211,4.1,18.3
1758203401.929901,4.53,13.35
1758203401.980282,4.59,7.95
1758203402.0305731,4.03,3.0
1758203402.0808644,4.57,-2.38
1758203402.1311483,1.3,-7.34
1758203402.1814353,6.44,-12.29
1758203402.2317243,6.1,-17.68
1758203402.282015,0.07,-22.63
1758203402.3323834,0.08,-28.04
1758203402.3827643,0.7,-33.43
1758203402.433036,1.04,-38.38
1758203402.4834068,0.82,-43.79
1758203402.5338066,0.66,-48.73
1758203402.5841963,0.55,-54.14
1758203402.6344728,0.47,-59.09
1758203402.684841,0.38,-64.49
1758203402.7351408,0.47,-69.44
1758203402.785401,0.5,-74.84
1758203402.835737,0.44,-79.79
1758203402.8861003,0.52,-85.19
1758203402.9364731,0.67,-90.14
1758203402.9868414,0.35,-95.54
1758203403.03712,0.49,-100.49
1758203403.087406,0.68,-105.89
1758203403.137685,0.68,-110.84
1758203403.1879635,0.45,-116.24
1758203403.2382412,0.6,-121.19
1758203403.2885232,0.57,-126.59
1758203403.3387997,0.66,-131.54
1758203403.3890772,0.58,-136.94
1758203403.4393613,0.51,-141.88
1758203403.4896545,0.4,-145.94
1758203403.5399437,0.38,-148.63
1758203403.5903273,0.36,-150.44
1758203403.640758,0.36,-151.79
1758203403.6911626,0.39,-153.13
1758203403.7415667,0.43,-154.04
1758203403.7919388,0.53,-155.38
1758203403.8422282,0.56,-156.29
1758203403.892627,0.57,-156.74
1758203403.9429126,0.56,-157.63
1758203403.9931984,0.56,-160.49
1758203404.043481,0.56,-160.03
1758203404.0938795,0.56,-159.13
1758203404.1442704,0.57,-158.69
1758203404.194654,0.56,-157.78
1758203404.2450771,0.53,-156.44
1758203404.2955375,0.42,-155.53
1758203404.345905,0.38,-154.19
1758203404.3962584,0.36,-152.83
1758203404.446626,0.37,-151.49
1758203404.4969895,0.37,-148.78
1758203404.5473597,0.46,-144.28
1758203404.59772,0.57,-139.33
1758203404.647988,0.61,-133.94
1758203404.698249,0.62,-128.99
1758203404.7485886,0.59,-123.58
1758203404.7988544,0.5,-118.63
1758203404.8490992,0.58,-113.23
1758203404.8993442,0.65,-108.29
1758203404.9495704,0.63,-102.88
1758203404.9998,0.31,-97.94
1758203405.0500538,0.56,-92.54
1758203405.1003113,0.6,-87.58
1758203405.1505592,0.45,-82.19
1758203405.2008057,0.47,-77.23
1758203405.251078,0.5,-71.84
1758203405.3013885,0.41,-66.88
1758203405.3516598,0.42,-61.49
1758203405.4019244,0.53,-56.54
1758203405.4521964,0.59,-51.14
1758203405.5024545,0.84,-46.19
1758203405.552723,0.69,-40.79
1758203405.6029654,1.5,-35.83
1758203405.653211,0.09,-30.44
1758203405.7034645,0.08,-25.49
1758203405.7537162,5.93,-20.09
1758203405.8039825,6.49,-15.14
1758203405.8542526,1.17,-9.74
1758203405.904514,4.5,-4.79
1758203405.9547565,4.29,0.14
1758203406.0050104,4.48,5.55
1758203406.0552783,4.51,10.5
1758203406.1055346,4.3,15.9
1758203406.1557946,4.03,20.84
1758203406.2060556,3.72,26.24
1758203406.256297,3.61,31.19
1758203406.3065598,3.45,36.59
1758203406.3568184,2.89,41.55
1758203406.4070807,2.07,46.94
1758203406.4573612,0.47,51.9
1758203406.5076325,0.33,57.3
1758203406.5578818,0.29,62.24
1758203406.6081405,0.32,67.65
1758203406.6584146,0.36,72.6
1758203406.7086966,0.37,78.0
1758203406.7589555,0.41,82.95
1758203406.8092139,0.41,88.35
1758203406.8594742,0.4,93.3
1758203406.9097364,0.17,98.7
1758203406.9599905,0.14,103.65
1758203407.0102468,0.15,109.05
1758203407.0605109,0.18,114.0
1758203407.1107843,0.43,119.4
1758203407.1610432,0.92,124.35
1758203407.2113082,0.85,129.75
1758203407.2615764,0.56,134.7
1758203407.31183,0.51,140.1
1758203407.3620915,0.6,144.6
1758203407.4123542,0.68,147.75
1758203407.4626124,0.48,150.0
1758203407.512883,0.4,151.35
1758203407.5631413,0.29,152.7
1758203407.6133943,0.45,153.6
1758203407.6636624,0.51,154.95
1758203407.7139215,0.51,155.85
1758203407.7641852,0.48,156.75
1758203407.8144472,0.47,157.64
1758203407.8647542,0.44,160.5
1758203407.9150167,0.43,160.04
1758203407.9652832,0.46,159.14
1758203408.0155559,0.48,158.25
1758203408.0658374,0.5,157.34
1758203408.1161032,0.51,156.45
1758203408.166358,0.45,155.09
1758203408.21662,0.3,154.2
1758203408.266884,0.4,152.84
1758203408.3171442,0.5,151.04
1758203408.3674097,0.7,147.89
1758203408.4176714,0.55,143.39
1758203408.4679303,0.52,138.45
1758203408.5182028,0.58,133.04
1758203408.5684721,1.0,128.09
1758203408.618744,0.76,122.7
1758203408.6690104,0.33,117.74
1758203408.7192898,0.17,112.34
1758203408.7695653,0.14,107.39
1758203408.8198352,0.15,101.99
1758203408.8700979,0.24,97.05
1758203408.9203665,0.46,91.64
1758203408.9706469,0.38,86.7
1758203409.0209322,0.41,81.29
1758203409.0712156,0.37,76.35
1758203409.1214793,0.36,70.94
1758203409.1717522,0.3,65.99
1758203409.222066,0.31,60.6
1758203409.272543,0.36,55.65
1758203409.3228343,0.79,50.25
1758203409.3730955,2.75,45.3
1758203409.4233594,3.16,39.9
1758203409.4736118,3.47,34.95
1758203409.523886,3.64,29.55
1758203409.5741558,3.86,24.6
1758203409.6244347,4.07,19.2
1758203409.6747222,4.49,14.24
1758203409.7251453,2.52,46.2
1758203409.7754185,3.05,40.8
1758203409.8256788,3.43,35.84
1758203409.8759375,3.63,30.45
1758203409.9261847,3.81,25.5
1758203409.976443,4.05,20.1
1758203410.0267184,4.41,15.15
1758203410.0770123,4.49,9.75
1758203410.1272902,4.31,4.8
1758203410.1775606,4.44,-0.13
1758203410.227839,4.39,-5.54
1758203410.2781408,654.36,-10.49
1758203410.3284464,6.27,-15.89
1758203410.3787374,5.77,-20.83
1758203410.4290276,0.08,-26.23
1758203410.4793108,0.21,-31.18
1758203410.5296001,1.45,-36.58
1758203410.5798907,0.74,-41.54
1758203410.6301603,0.76,-46.93
1758203410.6804411,0.57,-51.89
1758203410.7307143,0.52,-57.29
1758203410.7809877,0.4,-62.23
1758203410.8312583,0.43,-67.64
1758203410.8815234,0.51,-72.59
1758203410.9318109,0.45,-77.99
1758203410.982063,0.47,-82.94
1758203411.0323207,0.63,-88.34
1758203411.08259,0.5,-93.29
1758203411.1328595,0.39,-98.69
1758203411.1831336,0.68,-103.64
1758203411.233415,0.65,-109.04
1758203411.2836943,0.5,-113.99
1758203411.3339677,0.54,-119.39
1758203411.384253,0.57,-124.34
1758203411.4345262,0.64,-129.74
1758203411.4848168,0.6,-134.69
1758203411.5350754,0.57,-140.09
1758203411.5853195,0.43,-144.59
1758203411.6355505,0.37,-147.74
1758203411.6857905,0.37,-149.99
1758203411.7360418,0.36,-151.34
1758203411.7862828,0.38,-152.69
1758203411.836518,0.4,-153.59
1758203411.8867614,0.5,-154.94
1758203411.9370177,0.56,-155.84
1758203411.9872699,0.57,-156.74
1758203412.0375104,0.57,-157.63
1758203412.0877533,0.56,-160.49
1758203412.1380007,0.56,-160.49
1758203412.1882396,0.56,-159.58
1758203412.238489,0.57,-158.69
1758203412.288834,0.57,-157.78
1758203412.3392038,0.56,-156.88
1758203412.3894699,0.46,-155.99
1758203412.4398277,0.39,-154.63
1758203412.4901829,0.36,-153.28
1758203412.5405412,0.36,-151.94
1758203412.5909142,0.39,-149.69
1758203412.6412847,0.41,-146.08
1758203412.6916578,0.54,-141.13
1758203412.742028,0.59,-136.19
1758203412.7923875,0.65,-130.78
1758203412.8427577,0.57,-125.83
1758203412.8930213,0.57,-120.44
1758203412.943372,0.47,-115.48
1758203412.9937234,0.67,-110.08
1758203413.0440843,0.68,-105.13
1758203413.0944338,0.43,-99.73
1758203413.144718,0.45,-94.79
1758203413.195068,0.66,-89.38
1758203413.2454312,0.49,-84.44
1758203413.2957973,0.44,-79.03
1758203413.3460693,0.49,-74.09
1758203413.3964236,0.45,-68.68
1758203413.4467885,0.39,-63.74
1758203413.4970546,0.5,-58.34
1758203413.5472898,0.56,-53.39
1758203413.5975263,0.72,-47.99
1758203413.64777,0.77,-43.04
1758203413.6980069,1.3,-37.64
1758203413.748239,0.47,-32.69
1758203413.798469,0.08,-27.29
1758203413.8487277,0.07,-22.34
1758203413.8989556,6.19,-16.94
1758203413.9492157,3.71,-11.98
1758203413.99959,4.12,-6.58
1758203414.049945,4.58,-1.64
1758203414.1002917,4.16,3.3
1758203414.1505563,4.54,8.7
1758203414.2009227,4.49,13.65
1758203414.2513037,4.07,19.04
1758203414.301771,3.85,23.99
1758203414.3521352,3.64,29.39
1758203414.4024758,3.47,34.34
1758203414.4528325,3.15,39.75
