timestamp,distance_m,yaw_deg
1758890348.1970434,0.12,160.04
1758890348.2475216,0.12,160.04
1758890348.2979617,0.12,159.59
1758890348.348424,0.12,158.7
1758890348.398759,0.12,157.79
1758890348.4492505,0.12,156.89
1758890348.4995623,0.12,155.54
1758890348.5500407,0.13,154.64
1758890348.6003633,0.13,153.29
1758890348.6507645,0.13,151.5
1758890348.7012253,0.14,149.25
1758890348.751637,0.15,145.2
1758890348.8020744,0.16,139.79
1758890348.8524396,0.18,134.84
1758890348.9028633,0.19,129.45
1758890348.953252,0.18,124.49
1758890349.0036411,0.17,119.09
1758890349.0540502,0.16,114.14
1758890349.104362,0.16,108.74
1758890349.154777,0.16,103.8
1758890349.205172,0.15,98.39
1758890349.2556722,0.16,93.45
1758890349.306095,0.16,88.05
1758890349.3565066,0.16,83.1
1758890349.406827,0.16,77.69
1758890349.4571297,0.17,72.74
1758890349.5076103,0.18,67.35
1758890349.5579252,0.17,62.4
1758890349.608389,0.13,57.0
1758890349.6587017,0.12,52.05
1758890349.7091868,0.11,47.1
1758890349.7595067,0.11,41.7
1758890349.809897,0.1,36.3
1758890349.8603833,0.1,31.35
1758890349.9107096,0.1,26.4
1758890349.96111,0.09,21.0
1758890350.0115108,0.09,15.6
1758890350.061914,0.09,10.65
1758890350.1122196,0.09,5.7
1758890350.162588,0.09,0.75
1758890350.2130642,0.09,-4.63
1758890350.2634957,0.09,-9.58
1758890350.3137977,0.1,-14.98
1758890350.364274,0.1,-20.38
1758890350.4146886,0.1,-25.33
1758890350.4650135,0.11,-30.73
1758890350.5155096,0.12,-35.68
1758890350.565835,0.13,-41.09
1758890350.616259,0.15,-46.04
1758890350.6666439,0.17,-51.43
1758890350.717028,0.17,-56.39
1758890350.7675192,0.16,-61.79
1758890350.8178186,0.16,-66.74
1758890350.868192,0.15,-72.14
1758890350.9185925,0.15,-77.09
1758890350.9689736,0.15,-82.49
1758890351.0194101,0.15,-87.44
1758890351.0699027,0.15,-92.84
1758890351.1203177,0.16,-97.79
1758890351.170637,0.16,-103.19
1758890351.2211292,0.17,-108.14
1758890351.2714977,0.17,-113.54
1758890351.3219628,0.18,-118.49
1758890351.37227,0.18,-123.89
1758890351.422741,0.16,-128.84
1758890351.4731297,0.14,-134.24
1758890351.5235572,0.13,-139.19
1758890351.5738797,0.12,-144.13
1758890351.6241999,0.12,-147.74
1758890351.6745255,0.11,-149.54
1758890351.7248638,0.12,-150.88
1758890351.7752008,0.11,-152.24
1758890351.8255582,0.11,-153.59
1758890351.876036,0.11,-154.49
1758890351.9263203,0.11,-155.84
1758890351.9767337,0.11,-156.29
1758890352.0271056,0.11,-157.19
1758890352.0775433,0.11,-160.49
1758890352.1279829,0.11,-160.49
1758890352.1784012,0.11,-159.58
1758890352.2287295,0.11,-159.13
1758890352.279079,0.11,-158.24
1758890352.3294206,0.11,-157.33
1758890352.3797698,0.11,-155.99
1758890352.4301517,0.11,-155.08
1758890352.4804382,0.11,-153.74
1758890352.5308151,0.11,-152.38
1758890352.5811167,0.12,-150.13
1758890352.6315284,0.12,-146.99
1758890352.6818728,0.12,-142.03
1758890352.7321758,0.13,-136.63
1758890352.7825482,0.15,-131.69
1758890352.832891,0.17,-126.29
1758890352.8832052,0.19,-121.33
1758890352.9335034,0.17,-115.94
1758890352.983854,0.17,-110.98
1758890353.034166,0.16,-105.58
1758890353.0845773,0.16,-100.63
1758890353.1348634,0.15,-95.23
1758890353.1851585,0.15,-90.29
1758890353.2354884,0.15,-84.88
1758890353.285825,0.15,-79.93
1758890353.3361669,0.15,-74.53
1758890353.3865016,0.15,-69.59
1758890353.4368324,0.16,-64.18
1758890353.4871757,0.16,-59.24
1758890353.537622,0.17,-53.84
1758890353.58804,0.16,-48.89
1758890353.6384933,0.14,-43.49
1758890353.6888394,0.12,-38.54
1758890353.7391782,0.11,-33.13
1758890353.789511,0.11,-28.19
1758890353.8399043,0.1,-22.79
1758890353.8902173,0.1,-17.84
1758890353.940511,0.09,-12.44
1758890353.9908857,0.09,-7.49
1758890354.0412385,0.09,-2.08
1758890354.0915573,0.09,2.84
1758890354.141891,0.09,7.8
1758890354.1922596,0.09,13.2
1758890354.2425988,0.09,18.15
1758890354.2930515,0.1,23.55
1758890354.3433561,0.1,28.49
1758890354.393812,0.1,33.89
1758890354.4442227,0.1,38.84
1758890354.494637,0.11,44.24
1758890354.54503,0.11,49.19
1758890354.595426,0.13,54.6
1758890354.6458204,0.15,59.55
1758890354.6962337,0.18,64.95
1758890354.7466323,0.17,69.9
1758890354.7971387,0.17,75.3
1758890354.847529,0.16,80.25
1758890354.8980339,0.16,85.65
1758890354.9485161,0.16,90.6
1758890354.9989989,0.15,96.0
1758890355.049513,0.16,100.95
1758890355.10123,0.16,106.35
1758890355.151904,0.16,111.3
1758890355.2025065,0.17,116.7
1758890355.2530768,0.17,121.65
1758890355.3033862,0.19,127.05
1758890355.353791,0.19,132.0
1758890355.4041996,0.17,137.39
1758890355.4548151,0.15,142.35
1758890355.5052233,0.14,146.39
1758890355.5557177,0.14,149.1
1758890355.6062229,0.13,150.45
1758890355.6566393,0.13,151.8
1758890355.7070236,0.13,153.14
1758890355.7573073,0.12,154.5
1758890355.8076472,0.12,155.39
1758890355.8580792,0.12,156.3
1758890355.9085114,0.12,157.2
1758890355.9588985,0.12,157.64
1758890356.0093331,0.12,160.04
1758890356.059618,0.12,159.59
1758890356.1100237,0.12,158.7
1758890356.1604555,0.12,157.79
1758890356.210887,0.12,156.89
1758890356.2612936,0.12,156.0
1758890356.3117025,0.13,154.64
1758890356.3621202,0.13,153.29
1758890356.412543,0.13,151.95
1758890356.4629796,0.13,149.7
1758890356.5134184,0.14,146.09
1758890356.563859,0.16,141.14
1758890356.6143193,0.17,136.2
1758890356.6647818,0.19,130.79
1758890356.715221,0.18,125.84
1758890356.7656817,0.17,120.45
1758890356.8162968,0.17,115.49
1758890356.866644,0.16,110.09
1758890356.9169824,0.16,105.14
1758890356.9672549,0.15,99.74
1758890357.0176237,0.15,94.8
1758890357.0679708,0.16,89.39
1758890357.118324,0.16,84.45
1758890357.1686223,0.16,79.04
1758890357.219068,0.17,74.1
1758890357.2695253,0.18,68.69
1758890357.319967,0.18,63.75
1758890357.3702705,0.14,58.35
1758890357.4207237,0.12,53.4
1758890357.4711978,0.11,48.0
1758890357.5216293,0.11,43.05
1758890357.5720713,0.1,37.65
1758890357.6223667,0.1,32.7
1758890357.672892,0.1,27.3
1758890357.7233303,0.09,22.35
1758890357.7736862,0.09,16.95
1758890357.8239868,0.09,11.99
1758890357.874278,0.09,6.59
1758890357.924559,0.09,1.65
1758890357.9748492,0.09,-3.29
1758890358.025128,0.09,-8.69
1758890358.0754347,0.1,-13.64
1758890358.1257179,0.1,-19.03
1758890358.1760132,0.1,-23.98
1758890358.2263052,0.11,-29.38
1758890358.2766292,0.11,-34.33
1758890358.3269408,0.13,-39.74
1758890358.3772318,0.14,-44.68
1758890358.4275315,0.16,-50.09
1758890358.4778173,0.17,-55.04
1758890358.5281098,0.16,-60.43
1758890358.5784082,0.16,-65.39
1758890358.628702,0.15,-70.79
1758890358.67899,0.15,-75.74
1758890358.7292652,0.15,-81.14
1758890358.7795494,0.15,-86.09
1758890358.8298335,0.15,-91.49
1758890358.880135,0.15,-96.44
1758890358.9304292,0.16,-101.84
1758890358.9807305,0.17,-106.79
1758890359.0310402,0.17,-112.19
1758890359.0813549,0.18,-117.14
1758890359.13165,0.19,-122.54
1758890359.1819284,0.16,-127.49
1758890359.2322338,0.14,-132.88
1758890359.282535,0.13,-137.84
1758890359.3328402,0.12,-143.24
1758890359.383135,0.12,-147.29
1758890359.4334302,0.12,-149.54
1758890359.4837346,0.11,-150.88
1758890359.5340421,0.11,-152.24
1758890359.5843446,0.11,-153.13
1758890359.6346414,0.11,-154.49
1758890359.6849484,0.11,-155.38
1758890359.7352583,0.11,-156.29
1758890359.785569,0.11,-157.19
1758890359.83587,0.11,-160.49
1758890359.8861778,0.11,-160.49
1758890359.9366744,0.11,-160.03
1758890359.986979,0.11,-159.13
1758890360.0373313,0.11,-158.24
1758890360.0876913,0.11,-157.33
1758890360.138134,0.11,-156.44
1758890360.1884396,0.11,-155.08
1758890360.2387493,0.11,-153.74
1758890360.2891452,0.11,-152.38
1758890360.3394547,0.12,-150.58
1758890360.3897572,0.12,-147.88
1758890360.440167,0.12,-143.38
1758890360.4905515,0.13,-137.99
1758890360.5409613,0.15,-133.03
1758890360.5913613,0.16,-127.63
1758890360.6417582,0.18,-122.69
1758890360.692142,0.18,-117.29
1758890360.7425478,0.17,-112.33
1758890360.792838,0.16,-106.94
1758890360.8432283,0.16,-101.98
1758890360.8936229,0.15,-96.58
1758890360.9440136,0.15,-91.63
1758890360.994419,0.15,-86.23
1758890361.044813,0.15,-81.28
1758890361.0952034,0.15,-75.88
1758890361.1456025,0.15,-70.93
1758890361.1959941,0.15,-65.53
1758890361.246403,0.16,-60.59
1758890361.2967927,0.17,-55.19
1758890361.347231,0.16,-50.24
1758890361.3975198,0.14,-44.84
1758890361.447925,0.12,-39.89
1758890361.498331,0.11,-34.49
